Date,Demographic_category,Administered_Dose1,Administered_Dose1_pct_known,Administered_Dose1_pct_US,Series_Complete_Yes,Administered_Dose1_pct_agegroup,Series_Complete_Pop_pct_agegroup,Series_Complete_Pop_Pct_known,Series_Complete_Pop_Pct_US,Booster_Doses_Vax_pct_agegroup,Booster_Doses_Pop_Pct_known,Booster_Doses_Vax_Pct_US,Booster_Doses_Pop_Pct_known_Last14Days,Booster_Doses_Yes,Booster_Doses_Yes_Last14Days,Second_Booster_Vax_pct_agegroup,Second_Booster_Pop_Pct_known,Second_Booster_Pop_Pct_US,Second_Booster_Pop_Pct_known_Last14Days,Second_Booster,Second_Booster_Last14Days,Bivalent_Booster,Bivalent_Booster_Pop_Pct_agegroup,Bivalent_Booster_Pop_Pct_known
04/12/2023,Ages_65+_yrs,58822256,21.8,21.8,51695428,95,94.3,22.4,22.4,73.7,32.3,22.4,12.9,38087179,8927,60.1,62.8,62.8,49.5,22907286,25585,23317736,42.6,42
04/12/2023,US,270142789,,100,230467642,81.4,69.4,,100,51.2,,100,,117885729,68965,52.8,,100,,36465667,51681,55577285,16.7,
04/12/2023,Race_eth_NHAsian,13974386,6.8,5.2,12595956,73.6,66.3,6.9,5.5,69.9,8.3,6.9,11.2,8799124,6946,55.9,6.1,5.5,7.9,2013394,3801,4131866,21.8,8.3
04/12/2023,Ages_25-39_yrs,57006762,21.1,21.1,47529219,83.4,69.5,20.6,20.6,40.1,16.1,20.6,17.3,19037023,11900,,,,,,,7209499,10.5,13
04/12/2023,Ages_12-15_yrs,11877111,4.4,4.4,10157028,70.2,60,4.4,4.4,31.4,2.7,4.4,8,3193647,5505,,,,,,,1284736,7.6,2.3
04/12/2023,Ages_50-64_yrs,60957577,22.6,22.6,53347774,95,83.8,23.1,23.1,58,26.3,23.1,15.6,30959995,10759,43.8,37.2,37.2,50.5,13558381,26096,13691478,21.5,24.6
04/12/2023,Ages_5-11_yrs,11485875,4.3,4.3,9437706,40,32.8,4.1,4.1,23.7,1.9,4.1,16,2240540,11034,,,,,,,1330856,4.6,2.4
04/12/2023,Race_eth_unknown,64618166,31.4,23.9,46850539,,,25.5,20.3,26.2,11.6,25.5,11.5,12278633,7088,45.7,9.9,9,7,3296233,3397,5903619,,11.9
04/12/2023,Race_eth_known,205524623,99.9,76.1,183617103,,,99.9,79.7,57.5,99.9,99.9,99.9,105607096,61877,53.6,99.9,91,99.9,33169434,48284,49682571,,99.9
04/12/2023,Race_eth_NHMultiracial,4547544,2.2,1.7,4550932,61.9,62,2.5,2,72.1,3.1,2.5,3.9,3280670,2443,64.9,3.6,3.3,4.1,1193077,1967,1745515,23.8,3.5
04/12/2023,Ages_40-49_yrs,36293835,13.4,13.4,31246102,89,76.6,13.6,13.6,48,12.7,13.6,9.2,15009325,6342,,,,,,,5784372,14.2,10.4
04/12/2023,Sex_Female,139646996,52.2,51.7,119885793,82.9,71.1,52.4,52,53.5,54.5,52.4,52.7,64146844,36276,53.6,55.3,55.2,54.5,20131580,28151,30318948,18,54.7
04/12/2023,Ages_65-74_yrs,34996805,13,13,30807689,95,95,13.4,13.4,71.9,18.8,13.4,8,22145730,5542,58.7,35.6,35.6,30.4,12988713,15732,13131011,41.2,23.6
04/12/2023,Race_eth_NHMult_Oth,12644730,6.2,4.7,11370390,,,6.2,4.9,58.7,6.3,6.2,7.5,6674763,4619,54.6,6.1,5.6,6.7,2037953,3236,3128039,,6.3
04/12/2023,Sex_unknown,2388040,0.9,0.9,1515539,,,0.7,0.7,14.4,0.2,0.7,0.1,218081,72,29.2,0.1,0.1,0,33358,21,148677,,0.3
04/12/2023,Race_eth_NHNHOPI,665222,0.3,0.2,597994,71.6,64.4,0.3,0.3,51.8,0.3,0.3,0.6,309730,401,49.4,0.2,0.2,0.4,69241,197,114033,12.3,0.2
04/12/2023,Ages_25-49_yrs,93300597,34.5,34.5,78775321,85.5,72.2,34.2,34.2,43.2,28.9,34.2,26.5,34046348,18242,,,,,,,12993871,11.9,23.4
04/12/2023,Ages_18-24_yrs,25148250,9.3,9.3,20406706,82.2,66.7,8.9,8.9,35.9,6.2,8.9,8.6,7327451,5948,,,,,,,2206354,7.2,4
04/12/2023,Ages_<5yrs,1968224,0.7,0.7,1067504,10,5.4,0.5,0.5,9.5,0.1,0.5,9.1,101319,6268,,,,,,,101319,0.5,0.2
04/12/2023,Ages_<2yrs,668873,0.2,0.2,347589,8.7,4.5,0.2,0.2,10.8,0,0.2,3.7,37387,2571,,,,,,,37387,0.5,0.1
04/12/2023,Race_eth_NHBlack,21159054,10.3,7.8,18528246,51.3,45,10.1,8,49.1,8.6,10.1,13.8,9103275,8559,47.5,8.1,7.4,15.5,2689306,7472,3808280,9.2,7.7
04/12/2023,Ages_75+_yrs,23825451,8.8,8.8,20887739,95,91.2,9.1,9.1,76.3,13.5,9.1,4.9,15941449,3385,62.2,27.2,27.2,19.1,9918573,9853,10186725,44.5,18.3
04/12/2023,Ages_12-17_yrs,18258189,6.8,6.8,15626550,72.2,61.8,6.8,6.8,32.8,4.4,6.8,11.8,5129614,8143,,,,,,,1935671,7.6,3.5
04/12/2023,Age_unknown,9339,0,0,2490,,,0,0,0.1,0,0,0,3,1,0,0,0,0,0,0,0,,0
04/12/2023,Sex_known,267754749,99.9,99.1,228952103,,,99.9,99.3,51.4,99.9,99.9,99.9,117667648,68893,52.9,99.9,99.9,99.9,36432309,51660,55429227,,99.9
04/12/2023,Race_eth_NHWhite,112384330,54.7,41.6,102441666,57,51.9,55.8,44.4,61.9,60.1,55.8,38.4,63441057,23756,56.3,69.3,63,50.4,22989072,24315,32478939,16.5,65.4
04/12/2023,Ages_2-4_yrs,1299351,0.5,0.5,719915,10.8,6,0.3,0.3,8.9,0.1,0.3,5.4,63932,3697,,,,,,,63932,0.5,0.1
04/12/2023,Race_eth_NHOther,8097186,3.9,3,6819458,,,3.7,3,49.8,3.2,3.7,3.5,3394093,2176,44.6,2.5,2.3,2.6,844876,1269,1382524,,2.8
04/12/2023,Race_eth_Hispanic,42787289,20.8,15.8,36496055,67.1,57.2,19.9,15.8,45.2,15.6,19.9,26.9,16481975,16652,42.5,9.6,8.7,18.1,3170786,8718,5653966,8.9,11.4
04/12/2023,Ages_16-17_yrs,6381078,2.4,2.4,5469522,76.1,65.2,2.4,2.4,35.4,1.6,2.4,3.8,1935967,2638,,,,,,,650935,7.8,1.2
04/12/2023,Sex_Male,128107753,47.8,47.4,109066310,78.4,66.7,47.6,47.3,49.1,45.5,47.6,47.3,53520804,32617,52,44.7,44.7,45.5,16300729,23509,25110279,15.4,45.3
04/12/2023,Ages_<12yrs,13646581,5.1,5.1,10613373,28.1,21.9,4.6,4.6,22,2,4.6,24.6,2335139,16945,,,,,,,1432175,3,2.6
04/12/2023,Age_known,270133450,99.9,99.9,230465152,,,99.9,99.9,51.2,99.9,99.9,99.9,117885726,68964,52.8,99.9,99.9,99.9,36465667,51681,55577285,,99.9
04/12/2023,Race_eth_NHAIAN,1909612,0.9,0.7,1586796,78.4,65.2,0.9,0.7,50.2,0.8,0.9,1.5,797172,944,49.8,0.6,0.5,1.1,199682,545,367448,15.1,0.7
04/11/2023,Age_unknown,9339,0,0,2490,,,0,0,0.1,0,0,0,3,1,0,0,0,0,0,0,0,,0
04/11/2023,Ages_18-24_yrs,25148250,9.3,9.3,20406706,82.2,66.7,8.9,8.9,35.9,6.2,8.9,8.6,7327451,6811,,,,,,,2206354,7.2,4
04/11/2023,Race_eth_known,205524623,99.9,76.1,183617103,,,99.9,79.7,57.5,99.9,99.9,99.9,105607096,70867,53.6,99.9,91,99.9,33169434,55759,49682571,,99.9
04/11/2023,US,270142789,,100,230467642,81.4,69.4,,100,51.2,,100,,117885729,79227,52.8,,100,,36465667,59913,55577285,16.7,
04/11/2023,Ages_65+_yrs,58822256,21.8,21.8,51695428,95,94.3,22.4,22.4,73.7,32.3,22.4,13.2,38087179,10476,60.1,62.8,62.8,50,22907286,29966,23317736,42.6,42
04/11/2023,Ages_<2yrs,668873,0.2,0.2,347589,8.7,4.5,0.2,0.2,10.8,0,0.2,3.7,37387,2961,,,,,,,37387,0.5,0.1
04/11/2023,Race_eth_unknown,64618166,31.4,23.9,46850539,,,25.5,20.3,26.2,11.6,25.5,11.8,12278633,8360,45.7,9.9,9,7.4,3296233,4154,5903619,,11.9
04/11/2023,Ages_5-11_yrs,11485875,4.3,4.3,9437706,40,32.8,4.1,4.1,23.7,1.9,4.1,15.9,2240540,12616,,,,,,,1330856,4.6,2.4
04/11/2023,Ages_50-64_yrs,60957577,22.6,22.6,53347774,95,83.8,23.1,23.1,58,26.3,23.1,15.6,30959995,12345,43.8,37.2,37.2,50,13558381,29947,13691478,21.5,24.6
